Date : 2022-06-06 12:23:46
Directory : c:\Coding\Unity\Theogony
Total : 186 files,  54828 codes, 1580 comments, 2997 blanks, all 59405 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| Assets\-Samples\Input System\1.3.0\Touch Samples                                                              |          1 |          4 |          0 |          1 |          5 |
| Assets\-Samples\Input System\1.3.0\UI vs. Game Input                                                          |          3 |        362 |         51 |        116 |        529 |
| Assets\-Samples\Input System\1.3.0\Visualizers                                                                |          5 |      1,127 |        115 |        201 |      1,443 |
| Assets\-TextMesh Pro                                                                                          |         18 |      2,493 |         82 |        646 |      3,221 |
| Assets\-TextMesh Pro\Shaders                                                                                  |         17 |      2,338 |         82 |        644 |      3,064 |
| Assets\-TextMesh Pro\Sprites                                                                                  |          1 |        155 |          0 |          2 |        157 |
| Assets\LowPolyWater_Pack                                                                                      |          3 |        331 |         43 |        105 |        479 |
| Assets\LowPolyWater_Pack\Scripts                                                                              |          2 |        177 |         41 |         48 |        266 |
| Assets\LowPolyWater_Pack\Scripts\Editor                                                                       |          1 |        116 |         20 |         29 |        165 |
| Assets\LowPolyWater_Pack\Shaders                                                                              |          1 |        154 |          2 |         57 |        213 |
| Assets\Nicrom                                                                                                 |          2 |        233 |        226 |         34 |        493 |
| Assets\Nicrom\PolyPacks                                                                                       |          2 |        233 |        226 |         34 |        493 |
| Assets\Nicrom\PolyPacks\Wind                                                                                  |          2 |        233 |        226 |         34 |        493 |
| Assets\Nicrom\PolyPacks\Wind\Assets                                                                           |          2 |        233 |        226 |         34 |        493 |
| Assets\Nicrom\PolyPacks\Wind\Assets\Scripts                                                                   |          1 |        114 |          2 |         26 |        142 |
| Assets\Nicrom\PolyPacks\Wind\Assets\Scripts\Editor                                                            |          1 |        114 |          2 |         26 |        142 |
| Assets\Nicrom\PolyPacks\Wind\Assets\Shaders                                                                   |          1 |        119 |        224 |          8 |        351 |
| Assets\Nicrom\PolyPacks\Wind\Assets\Shaders\ASE                                                               |          1 |        119 |        224 |          8 |        351 |
| Logs                                                                                                          |         19 |     34,326 |          0 |        570 |     34,896 |
| Packages                                                                                                      |          2 |        474 |          0 |          2 |        476 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                                      | language  | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| c:\Coding\Unity\Theogony\Assembly-CSharp-Editor.csproj                                                        | XML       |        791 |          7 |          1 |        799 |
| c:\Coding\Unity\Theogony\Assembly-CSharp.csproj                                                               | XML       |        877 |          7 |          1 |        885 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\Bases\Action.cs                                               | C#        |         10 |          0 |          1 |         11 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\Bases\Condition.cs                                            | C#        |          9 |          0 |          1 |         10 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\Bases\FSM.cs                                                  | C#        |         79 |          0 |          6 |         85 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\Bases\MyNavMesh.cs                                            | C#        |         52 |          0 |          6 |         58 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\Bases\State.cs                                                | C#        |         25 |          0 |          5 |         30 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\Bases\Transition.cs                                           | C#        |         21 |          0 |          4 |         25 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actChase.cs                                                   | C#        |         15 |          1 |          3 |         19 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actDie.cs                                                     | C#        |         74 |          0 |          6 |         80 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actFace.cs                                                    | C#        |         14 |          0 |          2 |         16 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actMeleeAttack.cs                                             | C#        |         78 |          0 |          7 |         85 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actPatrol.cs                                                  | C#        |         52 |          0 |          4 |         56 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actStagger.cs                                                 | C#        |         24 |          0 |          1 |         25 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\actStop.cs                                                    | C#        |         14 |          0 |          3 |         17 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conCanSee.cs                                                  | C#        |         68 |          4 |         10 |         82 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conDie.cs                                                     | C#        |         26 |          0 |          1 |         27 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conFacingTarget.cs                                            | C#        |         36 |          0 |          4 |         40 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conInRange.cs                                                 | C#        |         45 |          0 |          9 |         54 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conIsHit.cs                                                   | C#        |         23 |          0 |          4 |         27 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conPhase2.cs                                                  | C#        |         21 |          0 |          2 |         23 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conPhaseChecker.cs                                            | C#        |         28 |          0 |          6 |         34 |
| c:\Coding\Unity\Theogony\Assets\+AI\FSM\Scripts\conStagger.cs                                                 | C#        |         28 |          0 |          3 |         31 |
| c:\Coding\Unity\Theogony\Assets\+AI\Oceanus\Scripts\actPhase2.cs                                              | C#        |         19 |          0 |          7 |         26 |
| c:\Coding\Unity\Theogony\Assets\+AI\Oceanus\Scripts\actPhase2Atk.cs                                           | C#        |         52 |          0 |         10 |         62 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Camera\CameraHandler.cs                                              | C#        |        344 |         22 |         51 |        417 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Camera\RotateCamera.cs                                               | C#        |         26 |          0 |          9 |         35 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Editors\BossBarrierEditor.cs                                         | C#        |          0 |         31 |          5 |         36 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Editors\EnemyControllerEditor.cs                                     | C#        |          0 |         28 |          4 |         32 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Enemies\EnemyAnimationEvents.cs                                      | C#        |        101 |          0 |         19 |        120 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Enemies\EnemyController.cs                                           | C#        |        114 |          0 |         13 |        127 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Enemies\EnemyWeaponCollision.cs                                      | C#        |         49 |          0 |          4 |         53 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Enemies\EnemyWeaponManager.cs                                        | C#        |         35 |          0 |          7 |         42 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Enemies\ParryColider.cs                                              | C#        |         45 |          2 |          9 |         56 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\GlobalInfo.cs                                                        | C#        |        293 |          3 |         46 |        342 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\BossWeapon.cs                                                  | C#        |         19 |          0 |          4 |         23 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\EnemyWeapons.cs                                                | C#        |         16 |          0 |          1 |         17 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\Interactable.cs                                                | C#        |         53 |          0 |          4 |         57 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\Items.cs                                                       | C#        |         11 |          0 |          5 |         16 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\WeaponHolderSlot.cs                                            | C#        |         54 |          0 |         13 |         67 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\WeaponSlotManager.cs                                           | C#        |        216 |          1 |         42 |        259 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Items\weaponItems.cs                                                 | C#        |         41 |          0 |          5 |         46 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\LevelElements\BossBarrier.cs                                         | C#        |         98 |          0 |         14 |        112 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\LevelElements\Checkpoint.cs                                          | C#        |         91 |          0 |         14 |        105 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\LevelElements\HiddenWall.cs                                          | C#        |         59 |          6 |          5 |         70 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\LevelElements\UnloadInvisible.cs                                     | C#        |         58 |          1 |          5 |         64 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Oceanus\BossAnimationEvents.cs                                       | C#        |        131 |          3 |         25 |        159 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Oceanus\BossController.cs                                            | C#        |         80 |          1 |         15 |         96 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Oceanus\BossWeaponCollision.cs                                       | C#        |         44 |          0 |          5 |         49 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Oceanus\LaserAttack.cs                                               | C#        |         47 |          1 |         10 |         58 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Oceanus\Phase2Atk.cs                                                 | C#        |         53 |          0 |         16 |         69 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Oceanus\SlamAttack.cs                                                | C#        |         25 |          1 |          5 |         31 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\BlockColider.cs                                               | C#        |         26 |          1 |          9 |         36 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\DamageCollider.cs                                             | C#        |         67 |          0 |         10 |         77 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\PlayerAttacker.cs                                             | C#        |         68 |          0 |         22 |         90 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\PlayerControllerScript.cs                                     | C#        |        220 |         15 |         32 |        267 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\PlayerInputActions.cs                                         | C#        |      2,044 |         16 |         16 |      2,076 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\PlayerInventory.cs                                            | C#        |         48 |          8 |          9 |         65 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\Player\PlayerManager.cs                                              | C#        |        190 |         10 |         26 |        226 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\BossHealthBar.cs                                                  | C#        |         63 |          0 |          7 |         70 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\ButtonPromptScript.cs                                             | C#        |        105 |          0 |         13 |        118 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\ButtonSpriteOverride.cs                                           | C#        |         42 |          1 |          3 |         46 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\ChangeSettings.cs                                                 | C#        |         73 |          0 |         10 |         83 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\CurrencyDisplay.cs                                                | C#        |         68 |          1 |         12 |         81 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\CustomDropdown.cs                                                 | C#        |         81 |         34 |         17 |        132 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\CustomSlider.cs                                                   | C#        |        130 |          0 |         14 |        144 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\CustomToggle.cs                                                   | C#        |         27 |          0 |          4 |         31 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\DisplayPlayerInventory.cs                                         | C#        |         83 |          0 |         12 |         95 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\DisplayPlayerStats.cs                                             | C#        |         54 |          0 |          5 |         59 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\EnemyWorldCanvas.cs                                               | C#        |         47 |          0 |          6 |         53 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\FPSscript.cs                                                      | C#        |         10 |          0 |          2 |         12 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\GlobalCanvas.cs                                                   | C#        |         55 |          2 |          4 |         61 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\HealDisplay.cs                                                    | C#        |         23 |          0 |          3 |         26 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\InventoryActions.cs                                               | C#        |         31 |          0 |          5 |         36 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\ItemFade.cs                                                       | C#        |         60 |          0 |         12 |         72 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\LevelUpInfo.cs                                                    | C#        |        131 |         10 |         16 |        157 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\LoadoutControl.cs                                                 | C#        |         12 |          0 |          5 |         17 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\MainMenuController.cs                                             | C#        |        211 |          0 |         22 |        233 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\MenuInfo.cs                                                       | C#        |         22 |          0 |          2 |         24 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\QuitControl.cs                                                    | C#        |         23 |          0 |          7 |         30 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\SendSettings.cs                                                   | C#        |         16 |          0 |          2 |         18 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\TravelMenu.cs                                                     | C#        |         64 |          1 |          9 |         74 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\UIAudio.cs                                                        | C#        |         16 |          5 |          4 |         25 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\UIController.cs                                                   | C#        |        294 |          3 |         27 |        324 |
| c:\Coding\Unity\Theogony\Assets\+Scripts\UI\UpdateBar.cs                                                      | C#        |         83 |          1 |         10 |         94 |
| c:\Coding\Unity\Theogony\Assets\+VascoThings\Oceanus\Actions\OC_Chace.cs                                      | C#        |          6 |         36 |          2 |         44 |
| c:\Coding\Unity\Theogony\Assets\+VascoThings\Oceanus\Actions\OC_Jump.cs                                       | C#        |          6 |         22 |          2 |         30 |
| c:\Coding\Unity\Theogony\Assets\+VascoThings\Oceanus\Actions\OC_Swipe.cs                                      | C#        |          6 |         33 |          2 |         41 |
| c:\Coding\Unity\Theogony\Assets\+VascoThings\Oceanus\OC_Weapon.cs                                             | C#        |         33 |          1 |         11 |         45 |
| c:\Coding\Unity\Theogony\Assets\+VascoThings\Oceanus\OC_animationEvents.cs                                    | C#        |         24 |          0 |         11 |         35 |
| c:\Coding\Unity\Theogony\Assets\-CG\FogWall\FogWallShader.shader                                              | ShaderLab |         76 |          1 |         10 |         87 |
| c:\Coding\Unity\Theogony\Assets\-CG\WaterShader\WaterTake2.shader                                             | ShaderLab |         96 |          2 |         21 |        119 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Binding Composite\.sample.json             | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Binding Composite\CustomComposite.cs       | C#        |         48 |        119 |         14 |        181 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Binding Composite\README.md                | Markdown  |          1 |          0 |          1 |          2 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Device Usages\.sample.json                 | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Device Usages\CustomDeviceUsages.cs        | C#        |         48 |         68 |          8 |        124 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Device Usages\README.md                    | Markdown  |          2 |          0 |          2 |          4 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Device\.sample.json                        | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Device\CustomDevice.cs                     | C#        |        122 |        207 |         24 |        353 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Custom Device\README.md                           | Markdown  |          1 |          0 |          1 |          2 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Gamepad Mouse Cursor\.sample.json                 | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Gamepad Mouse Cursor\README.md                    | Markdown  |         12 |          0 |          6 |         18 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\In-Game Hints\.sample.json                        | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\In-Game Hints\InGameHintsActions.cs               | C#        |        395 |         12 |         14 |        421 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\In-Game Hints\InGameHintsExample.cs               | C#        |        169 |         33 |         34 |        236 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Input Recorder\.sample.json                       | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Input Recorder\InputRecorder.cs                   | C#        |        300 |        105 |         68 |        473 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Input Recorder\InputRecorderInspector.cs          | C#        |        190 |         14 |         24 |        228 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Input Recorder\README.md                          | Markdown  |          2 |          0 |          2 |          4 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\InputDeviceTester\.sample.json                    | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\On-Screen Controls\.sample.json                   | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Rebinding UI\.sample.json                         | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Rebinding UI\GamepadIconsExample.cs               | C#        |         92 |         11 |         11 |        114 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Rebinding UI\README.md                            | Markdown  |          4 |          0 |          4 |          8 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Rebinding UI\RebindActionUI.cs                    | C#        |        299 |         86 |         60 |        445 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Rebinding UI\RebindActionUIEditor.cs              | C#        |        135 |         16 |         27 |        178 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Rebinding UI\RebindSaveLoad.cs                    | C#        |         17 |          0 |          4 |         21 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\.sample.json                          | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\README.md                             | Markdown  |        145 |          0 |         47 |        192 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\SimpleController_UsingActionAsset.cs  | C#        |         99 |          5 |         14 |        118 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\SimpleController_UsingActions.cs      | C#        |        105 |          8 |         16 |        129 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\SimpleController_UsingPlayerInput.cs  | C#        |         95 |          5 |         14 |        114 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\SimpleController_UsingState.cs        | C#        |         65 |          3 |         11 |         79 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Demo\SimpleControls.cs                     | C#        |        253 |         12 |         14 |        279 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Multiplayer\.sample.json                   | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Multiplayer\README.md                      | Markdown  |          6 |          0 |          6 |         12 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Simple Multiplayer\SimpleMultiplayerPlayer.cs     | C#        |          8 |          2 |          2 |         12 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Touch Samples\.sample.json                        | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\UI vs. Game Input\.sample.json                    | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\UI vs. Game Input\README.md                       | Markdown  |         28 |          0 |         20 |         48 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\UI vs. Game Input\UIvsGameInputHandler.cs         | C#        |        330 |         51 |         95 |        476 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Visualizers\.sample.json                          | JSON      |          4 |          0 |          1 |          5 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Visualizers\InputActionVisualizer.cs              | C#        |        252 |         22 |         49 |        323 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Visualizers\InputControlVisualizer.cs             | C#        |        278 |         38 |         44 |        360 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Visualizers\InputVisualizer.cs                    | C#        |         61 |          8 |         15 |         84 |
| c:\Coding\Unity\Theogony\Assets\-Samples\Input System\1.3.0\Visualizers\VisualizationHelpers.cs               | C#        |        532 |         47 |         92 |        671 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                          | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                | ShaderLab |        112 |          3 |         31 |        146 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_Bitmap.shader                                       | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                  | ShaderLab |        243 |          4 |         71 |        318 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF SSD.shader                                      | ShaderLab |        241 |          4 |         66 |        311 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                           | ShaderLab |        188 |         10 |         50 |        248 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                           | ShaderLab |        183 |          8 |         50 |        241 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                               | ShaderLab |         82 |          4 |         21 |        107 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                   | ShaderLab |        183 |          8 |         50 |        241 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                           | ShaderLab |        103 |          8 |         28 |        139 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                  | ShaderLab |        122 |          4 |         33 |        159 |
| c:\Coding\Unity\Theogony\Assets\-TextMesh Pro\Shaders\TMP_SDF.shader                                          | ShaderLab |        243 |          4 |         71 |        318 |
